ELS Search Term;(ELS Search Term #, [Gematria LetterValues], Gematria WordTotal);# Positive ELS Matches;# Negative ELS Matches
המשיח;(1, [5, 40, 300, 10, 8], 363);46;51
משיחי;(2, [40, 300, 10, 8, 10], 368);84;53
משיח;(3, [40, 300, 10, 8], 358);549;555
